particles,steps,time_per_step_ms,fps
50,250,0.033532,29822.434
100,250,0.074696,13387.575
150,250,0.111541,8965.282
200,250,0.169409,5902.870
250,250,0.232487,4301.310
300,250,0.424418,2356.170
350,250,0.393700,2540.004
400,250,0.489081,2044.653
450,250,0.576530,1734.517
500,250,0.610411,1638.242
550,250,0.692220,1444.628
600,250,0.731483,1367.085
650,250,0.859393,1163.612
700,250,0.906436,1103.221
750,250,0.948625,1054.157
800,250,0.999936,1000.064
850,250,1.022929,977.585
900,250,1.042067,959.631
950,250,1.054380,948.425
1000,250,1.076148,929.240
1050,250,1.117686,894.706
1100,250,1.120166,892.725
1150,250,1.123093,890.398
1200,250,1.143039,874.861
1250,250,1.163177,859.714
1300,250,1.172906,852.583
1350,250,1.153146,867.193
1400,250,1.156726,864.509
1450,250,1.186409,842.880
1500,250,1.242394,804.898
1550,250,2.378571,420.420
1600,250,2.252441,443.963
1650,250,2.663641,375.426
1700,250,2.722017,367.375
1750,250,2.584377,386.940
1800,250,1.454107,687.708
1850,250,2.939011,340.251
1900,250,2.699216,370.478
1950,250,2.814159,355.346
2000,250,3.058782,326.928
2050,250,3.014940,331.682
2100,250,3.490915,286.458
2150,250,3.430454,291.507
2200,250,3.361821,297.458
2250,250,3.648268,274.103
2300,250,3.726693,268.334
2350,250,3.866857,258.608
2400,250,1.934800,516.849
2450,250,3.578735,279.428
2500,250,3.678255,271.868
2550,250,3.854225,259.456
2600,250,3.981255,251.177
2650,250,4.318841,231.544
2700,250,4.470981,223.665
2750,250,4.649319,215.085
2800,250,5.183605,192.916
2850,250,5.067775,197.325
2900,250,5.374559,186.062
2950,250,5.254556,190.311
3000,250,2.779479,359.780
3050,250,5.139706,194.564
3100,250,5.363553,186.444
3150,250,5.383358,185.758
3200,250,5.227102,191.311
3250,250,6.593287,151.669
3300,250,5.874129,170.238
3350,250,6.099716,163.942
3400,250,6.428785,155.550
3450,250,6.719816,148.814
3500,250,7.397025,135.189
3550,250,7.445196,134.315
3600,250,3.063405,326.434
3650,250,6.384541,156.628
3700,250,6.762831,147.867
3750,250,7.178142,139.312
3800,250,7.085933,141.125
3850,250,8.181659,122.225
3900,250,7.446723,134.287
3950,250,7.965795,125.537
4000,250,8.121911,123.124
4050,250,7.916787,126.314
4100,250,9.376511,106.649
4150,250,8.496241,117.699
4200,250,3.540934,282.411
4250,250,8.188583,122.121
4300,250,7.909215,126.435
4350,250,8.261762,121.040
4400,250,8.989090,111.246
4450,250,9.328945,107.193
4500,250,10.236245,97.692
4550,250,9.170977,109.040
4600,250,10.037695,99.624
4650,250,10.066202,99.342
4700,250,11.218190,89.141
4750,250,10.514368,95.108
4800,250,3.989536,250.656
4850,250,9.467732,105.622
4900,250,8.830413,113.245
4950,250,10.465688,95.550
5000,250,10.474931,95.466
5050,250,12.018188,83.207
5100,250,10.973957,91.125
5150,250,11.465181,87.221
5200,250,10.779644,92.767
5250,250,11.498817,86.965
5300,250,12.251290,81.624
5350,250,13.665087,73.179
5400,250,4.508889,221.784
5450,250,11.107007,90.033
5500,250,11.605747,86.164
5550,250,10.613134,94.223
5600,250,12.297943,81.314
5650,250,12.524336,79.845
5700,250,11.902733,84.014
5750,250,13.591395,73.576
5800,250,13.391189,74.676
5850,250,13.150706,76.042
5900,250,14.928302,66.987
5950,250,16.631660,60.126
6000,250,4.755307,210.291
6050,250,13.446945,74.366
6100,250,12.978493,77.051
6150,250,13.458536,74.302
6200,250,14.794674,67.592
6250,250,17.181851,58.201
6300,250,15.432986,64.796
6350,250,15.793261,63.318
6400,250,15.034685,66.513
6450,250,17.268436,57.909
6500,250,15.973250,62.605
6550,250,17.350088,57.637
6600,250,5.319511,187.987
6650,250,13.743146,72.764
6700,250,15.715414,63.632
6750,250,16.296025,61.365
6800,250,15.682584,63.765
6850,250,18.000272,55.555
6900,250,20.915274,47.812
6950,250,18.893013,52.930
7000,250,18.803823,53.181
7050,250,18.890555,52.937
7100,250,20.883857,47.884
7150,250,23.524376,42.509
7200,250,5.886958,169.867
7250,250,17.308393,57.775
7300,250,16.964493,58.947
7350,250,19.771797,50.577
7400,250,23.166854,43.165
7450,250,20.834151,47.998
7500,250,19.703849,50.752
7550,250,21.837460,45.793
7600,250,22.161363,45.124
