particles,steps,time_per_step_ms,fps
50,250,0.163120,6130.465
100,250,0.260566,3837.801
150,250,0.359756,2779.664
200,250,0.485263,2060.739
250,250,0.612294,1633.201
300,250,0.979585,1020.841
350,250,1.059348,943.977
400,250,1.257060,795.507
450,250,1.397969,715.323
500,250,1.686607,592.906
550,250,1.720904,581.090
600,250,1.875326,533.241
650,250,1.985439,503.667
700,250,2.082497,480.193
750,250,2.295101,435.711
800,250,2.411047,414.758
850,250,2.512538,398.004
900,250,2.614037,382.550
950,250,2.678561,373.335
1000,250,2.806700,356.290
1050,250,2.900169,344.807
1100,250,3.030247,330.006
1150,250,3.123135,320.191
1200,250,3.190103,313.470
1250,250,3.355339,298.033
1300,250,3.492035,286.366
1350,250,3.556933,281.141
1400,250,3.725423,268.426
1450,250,3.785612,264.158
1500,250,3.909858,255.764
1550,250,4.540512,220.239
1600,250,4.587577,217.980
1650,250,4.762895,209.956
1700,250,4.834133,206.862
1750,250,4.902641,203.972
1800,250,4.608258,217.002
1850,250,5.171356,193.373
1900,250,5.002848,199.886
1950,250,5.090854,196.431
2000,250,5.426827,184.270
2050,250,5.441999,183.756
2100,250,5.772391,173.238
2150,250,5.776555,173.114
2200,250,5.900747,169.470
2250,250,6.075424,164.598
2300,250,6.130622,163.116
2350,250,6.269055,159.514
2400,250,5.496944,181.919
2450,250,6.161008,162.311
2500,250,6.422724,155.697
2550,250,6.537486,152.964
2600,250,6.843033,146.134
2650,250,6.844199,146.109
2700,250,7.146703,139.925
2750,250,7.410784,134.938
2800,250,7.963816,125.568
2850,250,7.658092,130.581
2900,250,7.949477,125.794
2950,250,7.906894,126.472
3000,250,6.515136,153.489
3050,250,8.121910,123.124
3100,250,8.145295,122.770
3150,250,8.406621,118.954
3200,250,8.391191,119.173
3250,250,9.689653,103.203
3300,250,9.326226,107.225
3350,250,9.398327,106.402
3400,250,9.573573,104.454
3450,250,9.950996,100.492
3500,250,10.955093,91.282
3550,250,11.373707,87.922
3600,250,7.777465,128.577
3650,250,10.216232,97.883
3700,250,10.587642,94.450
3750,250,11.204232,89.252
3800,250,11.254107,88.856
3850,250,12.679828,78.865
3900,250,11.492680,87.012
3950,250,12.190388,82.032
4000,250,12.384294,80.747
4050,250,12.503771,79.976
4100,250,14.162486,70.609
4150,250,13.250511,75.469
4200,250,8.940517,111.850
4250,250,12.956273,77.183
4300,250,12.834445,77.915
4350,250,13.064263,76.545
4400,250,14.064616,71.100
4450,250,14.445902,69.224
4500,250,15.702378,63.685
4550,250,14.635846,68.325
4600,250,15.685990,63.751
4650,250,15.446678,64.739
4700,250,17.232001,58.032
4750,250,15.975108,62.597
4800,250,10.351410,96.605
4850,250,15.490211,64.557
4900,250,14.500068,68.965
4950,250,16.200788,61.725
5000,250,17.052877,58.641
5050,250,18.596034,53.775
5100,250,17.297445,57.812
5150,250,18.009876,55.525
5200,250,17.519265,57.080
5250,250,17.950634,55.708
5300,250,19.071484,52.434
5350,250,20.249604,49.384
5400,250,12.059866,82.920
5450,250,17.853243,56.012
5500,250,18.527616,53.973
5550,250,17.852791,56.014
5600,250,19.356612,51.662
5650,250,19.129200,52.276
5700,250,18.906809,52.891
5750,250,20.305134,49.249
5800,250,20.073796,49.816
5850,250,19.856346,50.362
5900,250,21.634545,46.222
5950,250,22.907519,43.654
6000,250,13.797632,72.476
6050,250,20.122337,49.696
6100,250,19.789410,50.532
